,sentence,item,type,condition,patient,agent,context_had,target,patient_pos,agent_pos,target_pos
191,Tonia explained which conman the housewife had swindled over the phone.,96,reversal,reversed,conman,housewife,Tonia explained which conman the housewife had,swindled,3,5,7
192,The broadcaster explained which contestant the judge had disqualified from the show.,97,reversal,canonical,contestant,judge,The broadcaster explained which contestant the judge had,disqualified,4,6,8
193,The broadcaster explained which judge the contestant had disqualified from the show.,97,reversal,reversed,judge,contestant,The broadcaster explained which judge the contestant had,disqualified,4,6,8
194,The campaign volunteer speculated which mayor the voters had elected by a landslide.,98,reversal,canonical,mayor,voters,The campaign volunteer speculated which mayor the voters had,elected,5,7,9
195,The campaign volunteer speculated which voters the mayor had elected by a landslide.,98,reversal,reversed,voters,mayor,The campaign volunteer speculated which voters the mayor had,elected,5,7,9
196,The family counselor understood which daughter the stepparent had abused on a daily basis.,99,reversal,canonical,daughter,stepparent,The family counselor understood which daughter the stepparent had,abused,5,7,9
197,The family counselor understood which stepparent the daughter had abused on a daily basis.,99,reversal,reversed,stepparent,daughter,The family counselor understood which stepparent the daughter had,abused,5,7,9
198,The newscaster confirmed which fugitive the policeman had arrested following the robbery.,100,reversal,canonical,fugitive,policeman,The newscaster confirmed which fugitive the policeman had,arrested,4,6,8
199,The newscaster confirmed which policeman the fugitive had arrested following the robbery.,100,reversal,reversed,policeman,fugitive,The newscaster confirmed which policeman the fugitive had,arrested,4,6,8
200,The opera composer revealed which pirate the singer had portrayed with the greatest finesse.,101,reversal,canonical,pirate,singer,The opera composer revealed which pirate the singer had,portrayed,5,7,9
201,The opera composer revealed which singer the pirate had portrayed with the greatest finesse.,101,reversal,reversed,singer,pirate,The opera composer revealed which singer the pirate had,portrayed,5,7,9
202,The prison warden guessed which jailer the inmate had stabbed with a knife.,102,reversal,canonical,jailer,inmate,The prison warden guessed which jailer the inmate had,stabbed,5,7,9
203,The prison warden guessed which inmate the jailer had stabbed with a knife.,102,reversal,reversed,inmate,jailer,The prison warden guessed which inmate the jailer had,stabbed,5,7,9
204,The producer observed which viewers the acrobats had impressed with their tricks.,103,reversal,canonical,viewers,acrobats,The producer observed which viewers the acrobats had,impressed,4,6,8
205,The producer observed which acrobats the viewers had impressed with their tricks.,103,reversal,reversed,acrobats,viewers,The producer observed which acrobats the viewers had,impressed,4,6,8
206,The queen recognized which nobleman the comedian had entertained with his jokes.,104,reversal,canonical,nobleman,comedian,The queen recognized which nobleman the comedian had,entertained,4,6,8
207,The queen recognized which comedian the nobleman had entertained with his jokes.,104,reversal,reversed,comedian,nobleman,The queen recognized which comedian the nobleman had,entertained,4,6,8
208,The reporter inquired which animals the groomer had cleaned with special shampoo.,105,reversal,canonical,animals,groomer,The reporter inquired which animals the groomer had,cleaned,4,6,8
209,The reporter inquired which groomer the animals had cleaned with special shampoo.,105,reversal,reversed,groomer,animals,The reporter inquired which groomer the animals had,cleaned,4,6,8
210,The ape researcher identified which chimpanzee the poacher had shot in the jungle.,106,reversal,canonical,chimpanzee,poacher,The ape researcher identified which chimpanzee the poacher had,shot,5,7,9
211,The ape researcher identified which poacher the chimpanzee had shot in the jungle.,106,reversal,reversed,poacher,chimpanzee,The ape researcher identified which poacher the chimpanzee had,shot,5,7,9
212,The boatman saw which shark the diver had speared just off the shore.,107,reversal,canonical,shark,diver,The boatman saw which shark the diver had,speared,4,6,8
213,The boatman saw which diver the shark had speared just off the shore.,107,reversal,reversed,diver,shark,The boatman saw which diver the shark had,speared,4,6,8
214,The committee member guessed which advisors the president had appointed to the Cabinet.,108,reversal,canonical,advisors,president,The committee member guessed which advisors the president had,appointed,5,7,9
215,The committee member guessed which president the advisors had appointed to the Cabinet.,108,reversal,reversed,president,advisors,The committee member guessed which president the advisors had,appointed,5,7,9
216,The farmer indicated which donkey the townsperson had bought in the neighboring village.,109,reversal,canonical,donkey,townsperson,The farmer indicated which donkey the townsperson had,bought,4,6,8
217,The farmer indicated which townsperson the donkey had bought in the neighboring village.,109,reversal,reversed,townsperson,donkey,The farmer indicated which townsperson the donkey had,bought,4,6,8
218,The military man knew which soldiers the general had promoted after their tour.,110,reversal,canonical,soldiers,general,The military man knew which soldiers the general had,promoted,5,7,9
219,The military man knew which general the soldiers had promoted after their tour.,110,reversal,reversed,general,soldiers,The military man knew which general the soldiers had,promoted,5,7,9
220,The parole officer confirmed which delinquent the psychologist had treated several times already.,111,reversal,canonical,delinquent,psychologist,The parole officer confirmed which delinquent the psychologist had,treated,5,7,9
221,The parole officer confirmed which psychologist the delinquent had treated several times already.,111,reversal,reversed,psychologist,delinquent,The parole officer confirmed which psychologist the delinquent had,treated,5,7,9
222,The policeman knew which suspect the detective had arrested for the recent crime.,112,reversal,canonical,suspect,detective,The policeman knew which suspect the detective had,arrested,4,6,8
223,The policeman knew which detective the suspect had arrested for the recent crime.,112,reversal,reversed,detective,suspect,The policeman knew which detective the suspect had,arrested,4,6,8
224,The priest knew which demon the exorcist had expelled with a cross.,113,reversal,canonical,demon,exorcist,The priest knew which demon the exorcist had,expelled,4,6,8
225,The priest knew which exorcist the demon had expelled with a cross.,113,reversal,reversed,exorcist,demon,The priest knew which exorcist the demon had,expelled,4,6,8
226,Jack observed which passenger the conductor had removed from the train.,114,reversal,canonical,passenger,conductor,Jack observed which passenger the conductor had,removed,3,5,7
227,Jack observed which conductor the passenger had removed from the train.,114,reversal,reversed,conductor,passenger,Jack observed which conductor the passenger had,removed,3,5,7
228,Teresa knew which neighbor the parrot had bitten at the block party.,115,reversal,canonical,neighbor,parrot,Teresa knew which neighbor the parrot had,bitten,3,5,7
229,Teresa knew which parrot the neighbor had bitten at the block party.,115,reversal,reversed,parrot,neighbor,Teresa knew which parrot the neighbor had,bitten,3,5,7
230,The art critic identified which model the artist had drawn in the studio.,116,reversal,canonical,model,artist,The art critic identified which model the artist had,drawn,5,7,9
231,The art critic identified which artist the model had drawn in the studio.,116,reversal,reversed,artist,model,The art critic identified which artist the model had,drawn,5,7,9
232,The cotton farmer wondered which master the slave had escaped by running through the woods.,117,reversal,canonical,master,slave,The cotton farmer wondered which master the slave had,escaped,5,7,9
233,The cotton farmer wondered which slave the master had escaped by running through the woods.,117,reversal,reversed,slave,master,The cotton farmer wondered which slave the master had,escaped,5,7,9
234,The farmhand recorded which goats the breeder had sold at the market.,118,reversal,canonical,goats,breeder,The farmhand recorded which goats the breeder had,sold,4,6,8
235,The farmhand recorded which breeder the goats had sold at the market.,118,reversal,reversed,breeder,goats,The farmhand recorded which breeder the goats had,sold,4,6,8
236,The four-year-old knew which hero the dragon had eaten for dinner last night.,119,reversal,canonical,hero,dragon,The four-year-old knew which hero the dragon had,eaten,4,6,8
237,The four-year-old knew which dragon the hero had eaten for dinner last night.,119,reversal,reversed,dragon,hero,The four-year-old knew which dragon the hero had,eaten,4,6,8
238,The security guard investigated which patrolman the loiterer had evaded for three hours.,120,reversal,canonical,patrolman,loiterer,The security guard investigated which patrolman the loiterer had,evaded,5,7,9
239,The security guard investigated which loiterer the patrolman had evaded for three hours.,120,reversal,reversed,loiterer,patrolman,The security guard investigated which loiterer the patrolman had,evaded,5,7,9
240,The fertilizer enriched the soil so the plants could grow.,121,control,high-cloze,,,The fertilizer enriched the,soil,,,
241,The fertilizer enriched the paint so the plants could grow.,121,control,low-cloze,,,The fertilizer enriched the,paint,,,
242,All the guests had a very good time at the party he gave.,122,control,high-cloze,,,All the guests had a very good,time,,,
243,All the guests had a very good word at the party he gave.,122,control,low-cloze,,,All the guests had a very good,word,,,
244,The mole lived in a hole in the ground at the bottom of the hill.,123,control,high-cloze,,,The mole lived in a hole in the,ground,,,
245,The mole lived in a hole in the pill at the bottom of the hill.,123,control,low-cloze,,,The mole lived in a hole in the,pill,,,
246,Most shark attacks occur very close to shore and in the summer months.,124,control,high-cloze,,,Most shark attacks occur very close to,shore,,,
247,Most shark attacks occur very close to scissors and in the summer months.,124,control,low-cloze,,,Most shark attacks occur very close to,scissors,,,
248,The bad boy was sent to his room without any dessert.,125,control,high-cloze,,,The bad boy was sent to his,room,,,
249,The bad boy was sent to his beach without any dessert.,125,control,low-cloze,,,The bad boy was sent to his,beach,,,
250,New York is a very busy city that never sleeps.,126,control,high-cloze,,,New York is a very busy,city,,,
251,New York is a very busy baby that never sleeps.,126,control,low-cloze,,,New York is a very busy,baby,,,
252,The boys helped Jane wax her car because she didn't know how.,127,control,high-cloze,,,The boys helped Jane wax her,car,,,
253,The boys helped Jane wax her paper because she didn't know how.,127,control,low-cloze,,,The boys helped Jane wax her,paper,,,
254,We sometimes forget that golf is just a game that doesn't mean life or death.,128,control,high-cloze,,,We sometimes forget that golf is just a,game,,,
255,We sometimes forget that golf is just a race that doesn't mean life or death.,128,control,low-cloze,,,We sometimes forget that golf is just a,race,,,
256,The cows moved from the sun into the shade because of the heat.,129,control,high-cloze,,,The cows moved from the sun into the,shade,,,
257,The cows moved from the sun into the court because of the heat.,129,control,low-cloze,,,The cows moved from the sun into the,court,,,
258,The wealthy child attended a private school on the far side of town.,130,control,high-cloze,,,The wealthy child attended a private,school,,,
259,The wealthy child attended a private party on the far side of town.,130,control,low-cloze,,,The wealthy child attended a private,party,,,
260,I added my name to the list right after Mary.,131,control,high-cloze,,,I added my name to the,list,,,
261,I added my name to the check right after Mary.,131,control,low-cloze,,,I added my name to the,check,,,
262,The ship disappeared into the thick fog and was never seen again.,132,control,high-cloze,,,The ship disappeared into the thick,fog,,,
263,The ship disappeared into the thick ground and was never seen again.,132,control,low-cloze,,,The ship disappeared into the thick,ground,,,
264,Abby brushed her teeth after every meal and every snack.,133,control,high-cloze,,,Abby brushed her teeth after every,meal,,,
265,Abby brushed her teeth after every meal and every snack.,133,control,low-cloze,,,Abby brushed her teeth after every,game,,,
266,George must keep his pet on a leash so it does not run away.,134,control,high-cloze,,,George must keep his pet on a,leash,,,
267,George must keep his pet on a shore so it does not run away.,134,control,low-cloze,,,George must keep his pet on a,shore,,,
268,Yesterday they canoed down the river with a big group of friends.,135,control,high-cloze,,,Yesterday they canoed down the,river,,,
269,Yesterday they canoed down the room with a big group of friends.,135,control,low-cloze,,,Yesterday they canoed down the,room,,,
270,The gambler had a streak of bad luck right after his birthday.,136,control,high-cloze,,,The gambler had a streak of bad,luck,,,
271,The gambler had a streak of bad gas right after his birthday.,136,control,low-cloze,,,The gambler had a streak of bad,gas,,,
272,He liked lemon and sugar in his tea but not in his coffee.,137,control,high-cloze,,,He liked lemon and sugar in his,tea,,,
273,He liked lemon and sugar in his wine but not in his coffee.,137,control,low-cloze,,,He liked lemon and sugar in his,wine,,,
274,They sat together without speaking a single word and looked out the window.,138,control,high-cloze,,,They sat together without speaking a single,word,,,
275,They sat together without speaking a single time and looked out the window.,138,control,low-cloze,,,They sat together without speaking a single,time,,,
276,Emily poured cereal in a bowl to eat for breakfast.,139,control,high-cloze,,,Emily poured cereal in a,bowl,,,
277,Emily poured cereal in a closet to eat for breakfast.,139,control,low-cloze,,,Emily poured cereal in a,closet,,,
278,On my birthday my grandma always bakes me a cake with pink and white frosting.,140,control,high-cloze,,,On my birthday my grandma always bakes me a,cake,,,
279,On my birthday my grandma always bakes me a loaf with pink and white frosting.,140,control,low-cloze,,,On my birthday my grandma always bakes me a,loaf,,,
280,The carpenter pounded in the last nail with his hammer and was glad to be done.,141,control,high-cloze,,,The carpenter pounded in the last nail with his,hammer,,,
281,The carpenter pounded in the last nail with his car and was glad to be done.,141,control,low-cloze,,,The carpenter pounded in the last nail with his,car,,,
282,Karen cut the long string with a pair of scissors that she found in the cabinet.,142,control,high-cloze,,,Karen cut the long string with a pair of,scissors,,,
283,Karen cut the long string with a pair of weeds that she found in the cabinet.,142,control,low-cloze,,,Karen cut the long string with a pair of,weeds,,,
284,Tonight make sure you wish on a star like Sara told you to.,143,control,high-cloze,,,Tonight make sure you wish on a,star,,,
285,Tonight make sure you wish on a scale like Sara told you to.,143,control,low-cloze,,,Tonight make sure you wish on a,scale,,,
286,The tenants decided to take their landlord to court for treating them so unfairly.,144,control,high-cloze,,,The tenants decided to take their landlord to,court,,,
287,The tenants decided to take their landlord to tea for treating them so unfairly.,144,control,low-cloze,,,The tenants decided to take their landlord to,tea,,,
288,The cold drink was served with a slice of lemon and a bright green straw.,145,control,high-cloze,,,The cold drink was served with a slice of,lemon,,,
289,The cold drink was served with a slice of cheese and a bright green straw.,145,control,low-cloze,,,The cold drink was served with a slice of,cheese,,,
290,"To help everyone find her house, Lisa drew a map with lots of colors.",146,control,high-cloze,,,"To help everyone find her house, Lisa drew a",map,,,
291,"To help everyone find her house, Lisa drew a flag with lots of colors.",146,control,low-cloze,,,"To help everyone find her house, Lisa drew a",flag,,,
292,They drank champagne to celebrate their twelfth wedding anniversary with friends and family.,147,control,high-cloze,,,They drank champagne to celebrate their twelfth wedding,anniversary,,,
293,They drank champagne to celebrate their twelfth wedding cake with friends and family.,147,control,low-cloze,,,They drank champagne to celebrate their twelfth wedding,cake,,,
294,The mother fed the newborn baby right after her lunch.,148,control,high-cloze,,,The mother fed the newborn,baby,,,
295,The mother fed the newborn hen right after her lunch.,148,control,low-cloze,,,The mother fed the newborn,hen,,,
296,The halftime entertainment was the junior high marching band playing their fight song.,149,control,high-cloze,,,The halftime entertainment was the junior high marching,band,,,
297,The halftime entertainment was the junior high marching choir playing their fight song.,149,control,low-cloze,,,The halftime entertainment was the junior high marching,choir,,,
298,On hot days many people sun themselves on the beach and read a book.,150,control,high-cloze,,,On hot days many people sun themselves on the,beach,,,
299,On hot days many people sun themselves on the roof and read a book.,150,control,low-cloze,,,On hot days many people sun themselves on the,roof,,,
300,The kids fed the ducks some stale bread from their pantry.,151,control,high-cloze,,,The kids fed the ducks some stale,bread,,,
301,The kids fed the ducks some stale cream from their pantry.,151,control,low-cloze,,,The kids fed the ducks some stale,cream,,,
302,The teller cashed the large traveller's check that John gave him.,152,control,high-cloze,,,The teller cashed the large traveller’s,check,,,
303,The teller cashed the large traveller's dollars that John gave him.,152,control,low-cloze,,,The teller cashed the large traveller’s,dollars,,,
304,On top of the hamburger there was melted cheese and it tasted great.,153,control,high-cloze,,,On top of the hamburger there was melted,cheese,,,
305,On top of the hamburger there was melted sandwich and it tasted great.,153,control,low-cloze,,,On top of the hamburger there was melted,sandwich,,,
306,The organist accompanied the church choir every Sunday morning at 10am.,154,control,high-cloze,,,The organist accompanied the church,choir,,,
307,The organist accompanied the church dentist every Sunday morning at 10am.,154,control,low-cloze,,,The organist accompanied the church,dentist,,,
308,Every Sunday morning people pray in their local church with their families and neighbors.,155,control,high-cloze,,,Every Sunday morning people pray in their local,church,,,
309,Every Sunday morning people pray in their local school with their families and neighbors.,155,control,low-cloze,,,Every Sunday morning people pray in their local,school,,,
310,The butler hung their clothes in the closet in the back hallway.,156,control,high-cloze,,,The butler hung their clothes in the,closet,,,
311,The butler hung their clothes in the church in the back hallway.,156,control,low-cloze,,,The butler hung their clothes in the,church,,,
312,I like hot fudge with ice cream and a cherry on top.,157,control,high-cloze,,,I like hot fudge with ice,cream,,,
313,I like hot fudge with ice lemon and a cherry on top.,157,control,low-cloze,,,I like hot fudge with ice,lemon,,,
314,John poured himself a glass of sparkling red wine to enjoy with dessert.,158,control,high-cloze,,,John poured himself a glass of sparkling red,wine,,,
315,John poured himself a glass of sparkling red soil to enjoy with dessert.,158,control,low-cloze,,,John poured himself a glass of sparkling red,soil,,,
316,Because he had a toothache he called his dentist to see what he would recommend.,159,control,high-cloze,,,Because he had a toothache he called his,dentist,,,
317,Because he had a toothache he called his band to see what he would recommend.,159,control,low-cloze,,,Because he had a toothache he called his,band,,,
318,Tim put his feet up on his father's oak desk even though he knew it was wrong.,160,control,high-cloze,,,Tim put his feet up on his father's oak,desk,,,
319,Tim put his feet up on his father's oak map even though he knew it was wrong.,160,control,low-cloze,,,Tim put his feet up on his father's oak,map,,,
320,The society's annual dues were fifty dollars from each returning member.,161,control,high-cloze,,,The society's annual dues were fifty,dollars,,,
321,The society's annual dues were fifty lessons from each returning member.,161,control,low-cloze,,,The society's annual dues were fifty,lessons,,,
322,The racing cars received the checkered flag to begin the race.,162,control,high-cloze,,,The racing cars received the checkered,flag,,,
323,The racing cars received the checkered star to begin the race.,162,control,low-cloze,,,The racing cars received the checkered,star,,,
324,Jack ordered a hamburger and french fries from the cashier.,163,control,high-cloze,,,Jack ordered a hamburger and french,fries,,,
325,Jack ordered a hamburger and french meal from the cashier.,163,control,low-cloze,,,Jack ordered a hamburger and french,meal,,,
326,My cat is covered with white fur and a few brown spots.,164,control,high-cloze,,,My cat is covered with white,fur,,,
327,My cat is covered with white fog and a few brown spots.,164,control,low-cloze,,,My cat is covered with white,fog,,,
328,The attendant filled the car with gas and washed the windows.,165,control,high-cloze,,,The attendant filled the car with,gas,,,
329,The attendant filled the car with shade and washed the windows.,165,control,low-cloze,,,The attendant filled the car with,shade,,,
330,A female chicken is called a hen and her babies are called chicks.,166,control,high-cloze,,,A female chicken is called a,hen,,,
331,A female chicken is called a hammer and her babies are called chicks.,166,control,low-cloze,,,A female chicken is called a,hammer,,,
332,The policeman's gun was sitting in his shoulder holster when the phone rang.,167,control,high-cloze,,,The policeman's gun was sitting in his shoulder,holster,,,
333,The policeman's gun was sitting in his shoulder leash when the phone rang.,167,control,low-cloze,,,The policeman's gun was sitting in his shoulder,leash,,,
334,They could not afford to give their daughter piano lessons so she taught herself.,168,control,high-cloze,,,They could not afford to give their daughter piano,lessons,,,
335,They could not afford to give their daughter piano muscles so she taught herself.,168,control,low-cloze,,,They could not afford to give their daughter piano,muscles,,,
336,Cut me a slice of bread from that loaf sitting on the counter.,169,control,high-cloze,,,Cut me a slice of bread from that,loaf,,,
337,Cut me a slice of bread from that holster sitting on the counter.,169,control,low-cloze,,,Cut me a slice of bread from that,holster,,,
338,The maid loaded the laundry into the washing machine and poured in the detergent.,170,control,high-cloze,,,The maid loaded the laundry into the washing,machine,,,
339,The maid loaded the laundry into the washing river and poured in the detergent.,170,control,low-cloze,,,The maid loaded the laundry into the washing,river,,,
340,Before exercising Jack always stretches his muscles for at least ten minutes.,171,control,high-cloze,,,Before exercising Jack always stretches his,muscles,,,
341,Before exercising Jack always stretches his luck for at least ten minutes.,171,control,low-cloze,,,Before exercising Jack always stretches his,luck,,,
342,My car needs a new coat of paint as soon as possible.,172,control,high-cloze,,,My car needs a new coat of,paint,,,
343,My car needs a new coat of fur as soon as possible.,172,control,low-cloze,,,My car needs a new coat of,fur,,,
344,They placed an ad in the daily paper asking for a babysitter.,173,control,high-cloze,,,They placed an ad in the daily,paper,,,
345,They placed an ad in the daily list asking for a babysitter.,173,control,low-cloze,,,They placed an ad in the daily,list,,,
346,They ate ice cream and cake at his birthday party last Sunday afternoon.,174,control,high-cloze,,,They ate ice cream and cake at his birthday,party,,,
347,They ate ice cream and cake at his birthday anniversary last Sunday afternoon.,174,control,low-cloze,,,They ate ice cream and cake at his birthday,anniversary,,,
348,In the morning he forgot to take his vitamin pill so he had to take it later.,175,control,high-cloze,,,In the morning he forgot to take his vitamin,pill,,,
349,In the morning he forgot to take his vitamin bread so he had to take it later.,175,control,low-cloze,,,In the morning he forgot to take his vitamin,bread,,,
350,The horse collapsed right after winning the race at the famous racetrack.,176,control,high-cloze,,,The horse collapsed right after winning the,race,,,
351,The horse collapsed right after winning the desk at the famous racetrack.,176,control,low-cloze,,,The horse collapsed right after winning the,desk,,,
352,He finally decided to shingle the damaged roof that the storm had ruined last year.,177,control,high-cloze,,,He finally decided to shingle the damaged,roof,,,
353,He finally decided to shingle the damaged city that the storm had ruined last year.,177,control,low-cloze,,,He finally decided to shingle the damaged,city,,,
354,I ordered a ham and cheese sandwich for lunch yesterday.,178,control,high-cloze,,,I ordered a ham and cheese,sandwich,,,
355,I ordered a ham and cheese bowl for lunch yesterday.,178,control,low-cloze,,,I ordered a ham and cheese,bowl,,,
356,Pam weighed herself on the bathroom scale to monitor her progress.,179,control,high-cloze,,,Pam weighed herself on the bathroom,scale,,,
357,Pam weighed herself on the bathroom machine to monitor her progress.,179,control,low-cloze,,,Pam weighed herself on the bathroom,machine,,,
358,They're out in the garden pulling weeds so the flowers can grow.,180,control,high-cloze,,,They're out in the garden pulling,weeds,,,
359,They're out in the garden pulling fries so the flowers can grow.,180,control,low-cloze,,,They're out in the garden pulling,fries,,,
