,sentence,item,type,condition,patient,agent,context_had,target,item_num_original
201,The foreign correspondent reported which activist the dictator had protested outside the capitol building.,51,reversal,reversed,activist,dictator,The foreign correspondent reported which activist the dictator had,protested,54
202,The foreign correspondent reported which dictator the activist had imprisoned for thirty years.,51,alternative,alt_reversed,dictator,activist,The foreign correspondent reported which dictator the activist had,imprisoned,54
203,The foreign correspondent reported which activist the dictator had imprisoned for thirty years.,51,alternative,alt_canonical,activist,dictator,The foreign correspondent reported which activist the dictator had,imprisoned,54
204,The bartender saw which teenager the bouncer had thrown out from the crowded club.,52,reversal,canonical,teenager,bouncer,The bartender saw which teenager the bouncer had,thrown out,55
205,The bartender saw which bouncer the teenager had thrown out from the crowded club.,52,reversal,reversed,bouncer,teenager,The bartender saw which bouncer the teenager had,thrown out,55
206,The bartender saw which teenager the bouncer had bribed at the entrance.,52,alternative,alt_reversed,teenager,bouncer,The bartender saw which teenager the bouncer had,bribed,55
207,The bartender saw which bouncer the teenager had bribed at the entrance.,52,alternative,alt_canonical,bouncer,teenager,The bartender saw which bouncer the teenager had,bribed,55
208,The highway patrolman confirmed which elderly woman the hitchhiker had robbed on the side of the road.,53,reversal,canonical,woman,hitchhiker,The highway patrolman confirmed which elderly woman the hitchhiker had,robbed,56
209,The highway patrolman confirmed which hitchhiker the elderly woman had robbed on the side of the road.,53,reversal,reversed,hitchhiker,woman,The highway patrolman confirmed which hitchhiker the elderly woman had,robbed,56
210,The highway patrolman confirmed which elderly woman the hitchhiker had hit on the side of the road.,53,alternative,alt_reversed,woman,hitchhiker,The highway patrolman confirmed which elderly woman the hitchhiker had,hit,56
211,The highway patrolman confirmed which hitchhiker the elderly woman had hit on the side of the road.,53,alternative,alt_canonical,hitchhiker,woman,The highway patrolman confirmed which hitchhiker the elderly woman had,hit,56
212,The shepherd forgot which sheep the wolf had eaten from the flock.,54,reversal,canonical,sheep,wolf,The shepherd forgot which sheep the wolf had,eaten,57
213,The shepherd forgot which wolf the sheep had eaten from the flock.,54,reversal,reversed,wolf,sheep,The shepherd forgot which wolf the sheep had,eaten,57
214,The shepherd forgot which sheep the wolf had butted away from the flock.,54,alternative,alt_reversed,sheep,wolf,The shepherd forgot which sheep the wolf had,butted,57
215,The shepherd forgot which wolf the sheep had butted away from the flock.,54,alternative,alt_canonical,wolf,sheep,The shepherd forgot which wolf the sheep had,butted,57
216,The stable boy remembered which mule the trader had sold at the busy market.,55,reversal,canonical,mule,trader,The stable boy remembered which mule the trader had,sold,109
217,The stable boy remembered which trader the mule had sold at the busy market.,55,reversal,reversed,trader,mule,The stable boy remembered which trader the mule had,sold,109
218,The stable boy remembered which mule the trader had kicked at the busy market.,55,alternative,alt_reversed,mule,trader,The stable boy remembered which mule the trader had,kicked,109
219,The stable boy remembered which trader the mule had kicked at the busy market.,55,alternative,alt_canonical,trader,mule,The stable boy remembered which trader the mule had,kicked,109
220,The insect collector observed which spider the bee had stung in the garden.,56,reversal,canonical,spider,bee,The insect collector observed which spider the bee had,stung,111
221,The insect collector observed which bee the spider had stung in the garden.,56,reversal,reversed,bee,spider,The insect collector observed which bee the spider had,stung,111
222,The insect collector observed which spider the bee had trapped in the web.,56,alternative,alt_reversed,spider,bee,The insect collector observed which spider the bee had,trapped,111
223,The insect collector observed which bee the spider had trapped in the web.,56,alternative,alt_canonical,bee,spider,The insect collector observed which bee the spider had,trapped,111
224,The aquarium owner knew which orca the animal rights activist had freed in the middle of the night.,57,reversal,canonical,animal,activist,The aquarium owner knew which orca the animal rights activist had,freed,114
225,The aquarium owner knew which animal rights activist the orca had freed in the middle of the night.,57,reversal,reversed,activist,orca,The aquarium owner knew which animal rights activist the orca had,freed,114
226,The aquarium owner knew which orca the animal rights activist had befriended after many visits.,57,alternative,alt_reversed,animal,activist,The aquarium owner knew which orca the animal rights activist had,befriended,114
227,The aquarium owner knew which animal rights activist the orca had befriended after many visits.,57,alternative,alt_canonical,activist,orca,The aquarium owner knew which animal rights activist the orca had,befriended,114
228,The principal recorded which stoner the snitch had reported during an assembly.,58,reversal,canonical,stoner,snitch,The principal recorded which stoner the snitch had,reported,115
229,The principal recorded which snitch the stoner had reported during an assembly.,58,reversal,reversed,snitch,stoner,The principal recorded which snitch the stoner had,reported,115
230,The principal recorded which stoner the snitch had beaten up in the locker room.,58,alternative,alt_reversed,stoner,snitch,The principal recorded which stoner the snitch had,beaten up,115
231,The principal recorded which snitch the stoner had beaten up in the locker room.,58,alternative,alt_canonical,snitch,stoner,The principal recorded which snitch the stoner had,beaten up,115
232,The butler remembered which chauffeur the millionaire had hired the previous week.,59,reversal,canonical,chauffeur,millionaire,The butler remembered which chauffeur the millionaire had,hired,116
233,The butler remembered which millionaire the chauffeur had hired the previous week.,59,reversal,reversed,millionaire,chauffeur,The butler remembered which millionaire the chauffeur had,hired,116
234,The butler remembered which chauffeur the millionaire had driven the previous week.,59,alternative,alt_reversed,chauffeur,millionaire,The butler remembered which chauffeur the millionaire had,driven,116
235,The butler remembered which millionaire the chauffeur had driven the previous week.,59,alternative,alt_canonical,millionaire,chauffeur,The butler remembered which millionaire the chauffeur had,driven,116
236,The farmhand observed which cow the farmer had milked in the big red barn.,60,reversal,canonical,cow,farmer,The farmhand observed which cow the farmer had,milked,117
237,The farmhand observed which farmer the cow had milked in the big red barn.,60,reversal,reversed,farmer,cow,The farmhand observed which farmer the cow had,milked,117
238,The farmhand observed which cow the farmer had kicked in the big red barn.,60,alternative,alt_reversed,cow,farmer,The farmhand observed which cow the farmer had,kicked,117
239,The farmhand observed which farmer the cow had kicked in the big red barn.,60,alternative,alt_canonical,farmer,cow,The farmhand observed which farmer the cow had,kicked,117
