Unnamed: 0,sentence,item,type,condition,patient,agent,context_had,target,patient_pos,agent_pos,target_pos,gpt2_surprisal,gpt2-medium_surprisal,gpt2-large_surprisal,bert-base-uncased_surprisal
123,the old widower remembered which ghost the villager had haunted for many years.,62,reversal,reversed,ghost,villager,The old widower remembered which ghost the villager had,haunted,5.0,7.0,9.0,6.788279056549072,9.031780242919922,8.419114112854004,3.923508882522583
124,the firefighter reported which victim the paramedic had saved after the fire.,63,reversal,canonical,victim,paramedic,The firefighter reported which victim the paramedic had,saved,4.0,6.0,8.0,7.5084710121154785,3.5874314308166504,5.084527969360352,6.747153282165527
125,the firefighter reported which paramedic the victim had saved after the fire.,63,reversal,reversed,paramedic,victim,The firefighter reported which paramedic the victim had,saved,4.0,6.0,8.0,8.945992469787598,9.09645652770996,10.90584945678711,10.823145866394043
126,the historian documented which prince the assassin had killed in the 10th century.,64,reversal,canonical,prince,assassin,The historian documented which prince the assassin had,killed,4.0,6.0,8.0,4.729759693145752,3.480037212371826,2.9075069427490234,4.120425224304199
127,the historian documented which assassin the prince had killed in the 10th century.,64,reversal,reversed,assassin,prince,The historian documented which assassin the prince had,killed,4.0,6.0,8.0,2.9614696502685547,3.835559844970703,3.2004897594451904,8.10831069946289
128,the park ranger documented which eagle the hunter had shot with a rifle.,65,reversal,canonical,eagle,hunter,The park ranger documented which eagle the hunter had,shot,5.0,7.0,9.0,3.770806312561035,1.6869158744812012,1.6700409650802612,2.8657331466674805
129,the park ranger documented which hunter the eagle had shot with a rifle.,65,reversal,reversed,hunter,eagle,The park ranger documented which hunter the eagle had,shot,5.0,7.0,9.0,4.676926612854004,5.740962505340576,3.9696154594421382,4.3350605964660645
130,the judo master recognized which defender the assailant had attacked late last night.,66,reversal,canonical,defender,assailant,The judo master recognized which defender the assailant had,attacked,5.0,7.0,9.0,6.978499889373779,3.1424009799957275,5.242936611175537,6.202474594116211
131,the judo master recognized which assailant the defender had attacked late last night.,66,reversal,reversed,assailant,defender,The judo master recognized which assailant the defender had,attacked,5.0,7.0,9.0,6.00971794128418,3.945584774017334,4.410393238067627,3.649806261062622
132,the naturalist observed which predators the deer had avoided by sleeping in the daytime.,67,reversal,canonical,predators,deer,The naturalist observed which predators the deer had,avoided,4.0,6.0,8.0,8.399632453918457,8.021600723266602,6.704705238342285,2.530133008956909
133,the naturalist observed which deer the predators had avoided by sleeping in the daytime.,67,reversal,reversed,deer,predators,The naturalist observed which deer the predators had,avoided,4.0,6.0,8.0,9.592405319213867,11.640006065368652,9.25632095336914,6.500314235687256
134,the restaurant owner forgot which customer the waitress had served during dinner yesterday.,68,reversal,canonical,customer,waitress,The restaurant owner forgot which customer the waitress had,served,5.0,7.0,9.0,6.130661487579346,6.348971843719482,5.4643096923828125,0.9480178952217102
135,the restaurant owner forgot which waitress the customer had served during dinner yesterday.,68,reversal,reversed,waitress,customer,The restaurant owner forgot which waitress the customer had,served,5.0,7.0,9.0,5.728877067565918,7.9340081214904785,8.106443405151367,1.887813687324524
136,the head nun explained which friar the temptress had seduced after sunday mass.,69,reversal,canonical,friar,temptress,The head nun explained which friar the temptress had,seduced,5.0,7.0,9.0,8.673528151586652,7.321804774226621,5.176770161837339,1.5833960885647684
137,the head nun explained which temptress the friar had seduced after sunday mass.,69,reversal,reversed,temptress,friar,The head nun explained which temptress the friar had,seduced,5.0,7.0,9.0,6.170512072276324,6.710471370490268,7.491000988287851,0.3010467004496604
138,the housekeeper showed which mouse the cat had killed under the table.,70,reversal,canonical,mouse,cat,The housekeeper showed which mouse the cat had,killed,4.0,6.0,8.0,5.382027626037598,5.774533271789551,3.684782028198242,9.601247787475586
139,the housekeeper showed which cat the mouse had killed under the table.,70,reversal,reversed,cat,mouse,The housekeeper showed which cat the mouse had,killed,4.0,6.0,8.0,6.016773223876953,5.713555335998535,4.346195697784424,9.689498901367188
140,the nanny knew which housekeeper the billionaire had hired from their conversation.,71,reversal,canonical,housekeeper,billionaire,The nanny knew which housekeeper the billionaire had,hired,4.0,6.0,8.0,5.444899082183838,3.941137790679932,2.7898874282836914,6.66314172744751
141,the nanny knew which billionaire the housekeeper had hired from their conversation.,71,reversal,reversed,billionaire,housekeeper,The nanny knew which billionaire the housekeeper had,hired,4.0,6.0,8.0,5.524281024932861,5.013329982757568,4.514197826385498,10.247066497802734
142,the researcher learned which whale the biologist had studied in the lab.,72,reversal,canonical,whale,biologist,The researcher learned which whale the biologist had,studied,4.0,6.0,8.0,5.467815399169922,5.78414249420166,6.166208267211914,7.68997859954834
143,the researcher learned which biologist the whale had studied in the lab.,72,reversal,reversed,biologist,whale,The researcher learned which biologist the whale had,studied,4.0,6.0,8.0,6.332032680511475,6.549957752227783,6.545906066894531,8.326802253723145
144,tracy announced which applicant the administrator had chosen after the interview.,73,reversal,canonical,administrator,applicant,Tracy announced which applicant the administrator had,chosen,5.0,3.0,7.0,3.778830289840698,4.054806232452393,2.7035012245178223,3.4005813598632812
145,tracy announced which administrator the applicant had chosen after the interview.,73,reversal,reversed,applicant,administrator,Tracy announced which administrator the applicant had,chosen,5.0,3.0,7.0,4.7085490226745605,5.310482978820801,3.724256753921509,3.4224727153778076
146,the birthday boy saw which friend the clown had scared at the party.,74,reversal,canonical,friend,clown,The birthday boy saw which friend the clown had,scared,5.0,7.0,9.0,13.619000434875488,13.011221885681152,10.49731159210205,16.49897575378418
147,the birthday boy saw which clown the friend had scared at the party.,74,reversal,reversed,clown,friend,The birthday boy saw which clown the friend had,scared,5.0,7.0,9.0,12.47923755645752,12.11181640625,12.49004364013672,14.880800247192383
148,the columnist publicized which photographer the celebrity had punched in the nose.,75,reversal,canonical,photographer,celebrity,The columnist publicized which photographer the celebrity had,punched,4.0,6.0,8.0,14.07088851928711,12.424235343933104,16.35544204711914,1.7767059803009033
149,the columnist publicized which celebrity the photographer had punched in the nose.,75,reversal,reversed,celebrity,photographer,The columnist publicized which celebrity the photographer had,punched,4.0,6.0,8.0,14.385674476623535,12.59778118133545,14.02822971343994,1.8870981931686401
150,the documentarian showed which piglets the agriculturalist had raised at the farm.,76,reversal,canonical,piglets,agriculturalist,The documentarian showed which piglets the agriculturalist had,raised,4.0,6.0,8.0,7.175578594207764,6.657054901123047,5.751104831695557,5.556418418884277
151,the documentarian showed which agriculturalist the piglets had raised at the farm.,76,reversal,reversed,agriculturalist,piglets,The documentarian showed which agriculturalist the piglets had,raised,4.0,6.0,8.0,9.710223197937012,9.162113189697266,8.742012977600098,9.28941822052002
152,the police officer noted which jeweler the burglar had robbed on his spree.,77,reversal,canonical,jeweler,burglar,The police officer noted which jeweler the burglar had,robbed,5.0,7.0,9.0,8.470330238342285,6.235920429229736,6.0637407302856445,3.510280132293701
153,the police officer noted which burglar the jeweler had robbed on his spree.,77,reversal,reversed,burglar,jeweler,The police officer noted which burglar the jeweler had,robbed,5.0,7.0,9.0,6.885623931884766,6.408387184143066,6.237538814544678,9.269726753234863
154,the royal cook asked which lord the chef had served for twenty years.,78,reversal,canonical,lord,chef,The royal cook asked which lord the chef had,served,5.0,7.0,9.0,4.62444543838501,3.6590423583984375,3.646597623825073,0.15411296486854553
155,the royal cook asked which chef the lord had served for twenty years.,78,reversal,reversed,chef,lord,The royal cook asked which chef the lord had,served,5.0,7.0,9.0,5.175626754760742,5.238916397094727,5.8585286140441895,2.204435110092163
156,the trapeze artist indicated which lion the trainer had tamed for the circus.,79,reversal,canonical,lion,trainer,The trapeze artist indicated which lion the trainer had,tamed,5.0,7.0,9.0,12.885181903839111,11.137332171201706,10.068509563803673,6.190673901699483
157,the trapeze artist indicated which trainer the lion had tamed for the circus.,79,reversal,reversed,trainer,lion,The trapeze artist indicated which trainer the lion had,tamed,5.0,7.0,9.0,12.715511083602903,12.641968488693236,10.319775864481926,4.7715100951027125
158,the wildlife curator mentioned which ape the zookeeper had fed some fresh fruit.,80,reversal,canonical,ape,zookeeper,The wildlife curator mentioned which ape the zookeeper had,fed,5.0,7.0,9.0,11.354971885681152,11.368741035461426,10.96912670135498,11.003719329833984
159,the wildlife curator mentioned which zookeeper the ape had fed some fresh fruit.,80,reversal,reversed,zookeeper,ape,The wildlife curator mentioned which zookeeper the ape had,fed,5.0,7.0,9.0,11.51970100402832,8.597811698913574,8.978046417236328,9.758695602416992
160,the aid worker realized which refugees the philanthropist had helped to escape starvation.,81,reversal,canonical,refugees,philanthropist,The aid worker realized which refugees the philanthropist had,helped,5.0,7.0,9.0,3.8972864151000977,3.748924493789673,5.038951396942139,4.8569440841674805
161,the aid worker realized which philanthropist the refugees had helped to escape starvation.,81,reversal,reversed,philanthropist,refugees,The aid worker realized which philanthropist the refugees had,helped,5.0,7.0,9.0,5.41456413269043,6.417809009552002,6.27247428894043,6.975517272949219
162,the camper reported which girl the bear had mauled in the forest.,82,reversal,canonical,girl,bear,The camper reported which girl the bear had,mauled,4.0,6.0,8.0,10.450997376348823,8.544532993109897,7.8022201338317245,0.016325969190802425
163,the camper reported which bear the girl had mauled in the forest.,82,reversal,reversed,bear,girl,The camper reported which bear the girl had,mauled,4.0,6.0,8.0,11.219729552045465,11.288358195219187,9.47008127369918,0.031135738594457507
164,the dance instructor noticed which onlookers the performers had impressed in the audience.,83,reversal,canonical,onlookers,performers,The dance instructor noticed which onlookers the performers had,impressed,5.0,7.0,9.0,14.198127746582031,12.806658744812012,8.55257511138916,7.67070198059082
165,the dance instructor noticed which performers the onlookers had impressed in the audience.,83,reversal,reversed,performers,onlookers,The dance instructor noticed which performers the onlookers had,impressed,5.0,7.0,9.0,13.0956449508667,13.623051643371582,12.610106468200684,10.088763236999512
166,the high schooler heard which geek the jock had bullied in the hall.,84,reversal,canonical,geek,jock,The high schooler heard which geek the jock had,bullied,5.0,7.0,9.0,10.553922653198242,9.477724075317385,10.810673713684082,4.285816102288663
167,the high schooler heard which jock the geek had bullied in the hall.,84,reversal,reversed,jock,geek,The high schooler heard which jock the geek had,bullied,5.0,7.0,9.0,9.564701080322266,8.697731971740723,9.17004108428955,4.8669150453060865
168,the parent saw which child the lifeguard had rescued from the pool.,85,reversal,canonical,child,lifeguard,The parent saw which child the lifeguard had,rescued,4.0,6.0,8.0,7.962779998779297,5.557994842529297,6.688421726226807,2.3576619625091553
169,the parent saw which lifeguard the child had rescued from the pool.,85,reversal,reversed,lifeguard,child,The parent saw which lifeguard the child had,rescued,4.0,6.0,8.0,10.195219993591309,9.58396339416504,9.322083473205566,4.4279866218566895
170,the ringmaster recognized which cheetah the tamer had trained three years ago.,86,reversal,canonical,cheetah,tamer,The ringmaster recognized which cheetah the tamer had,trained,4.0,6.0,8.0,7.879117012023926,8.05974006652832,6.179038047790527,7.135228633880615
171,the ringmaster recognized which tamer the cheetah had trained three years ago.,86,reversal,reversed,tamer,cheetah,The ringmaster recognized which tamer the cheetah had,trained,4.0,6.0,8.0,9.038439750671388,8.422428131103516,7.676214218139648,7.398097991943359
172,the travel agent recorded which innkeeper the guests had liked in his notebook.,87,reversal,canonical,innkeeper,guests,The travel agent recorded which innkeeper the guests had,liked,5.0,7.0,9.0,11.938546180725098,10.322052001953123,9.64208698272705,10.106953620910645
173,the travel agent recorded which guests the innkeeper had liked in his notebook.,87,reversal,reversed,guests,innkeeper,The travel agent recorded which guests the innkeeper had,liked,5.0,7.0,9.0,12.21694278717041,11.458403587341309,9.205358505249023,12.10429573059082
174,the bird watcher saw which photographer the hawk had attacked in the woods.,88,reversal,canonical,photographer,hawk,The bird watcher saw which photographer the hawk had,attacked,5.0,7.0,9.0,10.24676513671875,7.851192474365234,5.340752124786377,7.190812110900879
175,the bird watcher saw which hawk the photographer had attacked in the woods.,88,reversal,reversed,hawk,photographer,The bird watcher saw which hawk the photographer had,attacked,5.0,7.0,9.0,11.146963119506836,9.537569046020508,9.81636905670166,10.270771980285645
176,the costume designer confirmed which actor the barber had shaved for the part.,89,reversal,canonical,actor,barber,The costume designer confirmed which actor the barber had,shaved,5.0,7.0,9.0,11.122814178466797,9.449524879455566,5.087619781494141,15.114182472229004
177,the costume designer confirmed which barber the actor had shaved for the part.,89,reversal,reversed,barber,actor,The costume designer confirmed which barber the actor had,shaved,5.0,7.0,9.0,10.578700065612791,7.94166898727417,4.952391624450684,15.48363971710205
178,the indian king identified which prince the elephant had trampled during the long journey.,90,reversal,canonical,prince,elephant,The Indian king identified which prince the elephant had,trampled,5.0,7.0,9.0,15.139217402902432,12.39878833387047,9.955100154154934,0.0024682949951966293
179,the indian king identified which elephant the prince had trampled during the long journey.,90,reversal,reversed,elephant,prince,The Indian king identified which elephant the prince had,trampled,5.0,7.0,9.0,13.704315178270916,12.583042939193549,12.129695464624092,0.003775363053136971
180,the investigator discovered which couple the abductor had taken during their vacation.,91,reversal,canonical,couple,abductor,The investigator discovered which couple the abductor had,taken,4.0,6.0,8.0,6.633136749267578,6.611354351043701,4.826943397521973,5.481133937835693
181,the investigator discovered which abductor the couple had taken during their vacation.,91,reversal,reversed,abductor,couple,The investigator discovered which abductor the couple had,taken,4.0,6.0,8.0,6.174336910247803,6.909520149230957,6.295558452606201,9.33409309387207
182,the jail keeper forgot which guard the prisoner had attacked in his cell.,92,reversal,canonical,guard,prisoner,The jail keeper forgot which guard the prisoner had,attacked,5.0,7.0,9.0,8.767889976501465,7.691383361816406,8.413677215576172,9.835509300231934
183,the jail keeper forgot which prisoner the guard had attacked in his cell.,92,reversal,reversed,prisoner,guard,The jail keeper forgot which prisoner the guard had,attacked,5.0,7.0,9.0,9.430989265441896,8.977945327758789,10.66355800628662,10.142176628112793
184,the sailor saw which whale the man had harpooned on the starboard side.,93,reversal,canonical,whale,man,The sailor saw which whale the man had,harpooned,4.0,6.0,8.0,13.295986913144588,10.955625005124602,10.736213100608438,0.3736522432882339
185,the sailor saw which man the whale had harpooned on the starboard side.,93,reversal,reversed,man,whale,The sailor saw which man the whale had,harpooned,4.0,6.0,8.0,14.474610389210284,12.205628117430024,12.263627476524562,0.3122324458672665
186,the sheriff recalled which locals the gangsters had robbed in a dark alleyway.,94,reversal,canonical,locals,gangsters,The sheriff recalled which locals the gangsters had,robbed,4.0,6.0,8.0,7.043011665344238,5.133415222167969,6.33013916015625,7.562176704406738
187,the sheriff recalled which gangsters the locals had robbed in a dark alleyway.,94,reversal,reversed,gangsters,locals,The sheriff recalled which gangsters the locals had,robbed,4.0,6.0,8.0,7.613091468811035,8.068126678466797,10.40812873840332,11.333683967590332
188,the undead king recognized which woman the zombie had bitten during the fight.,95,reversal,canonical,woman,zombie,The undead king recognized which woman the zombie had,bitten,5.0,7.0,9.0,7.587863445281982,9.043766975402832,6.069365501403809,5.9224042892456055
189,the undead king recognized which zombie the woman had bitten during the fight.,95,reversal,reversed,zombie,woman,The undead king recognized which zombie the woman had,bitten,5.0,7.0,9.0,6.179289817810059,8.04430866241455,4.935181140899658,4.657740116119385
190,tonia explained which housewife the conman had swindled over the phone.,96,reversal,canonical,housewife,conman,Tonia explained which housewife the conman had,swindled,3.0,5.0,7.0,15.952290205750614,10.886512932367625,9.506188381812535,0.5578869302989915
191,tonia explained which conman the housewife had swindled over the phone.,96,reversal,reversed,conman,housewife,Tonia explained which conman the housewife had,swindled,3.0,5.0,7.0,16.317224169615656,11.58689183788374,12.096498445491306,1.8776212567463517
192,the broadcaster explained which contestant the judge had disqualified from the show.,97,reversal,canonical,contestant,judge,The broadcaster explained which contestant the judge had,disqualified,4.0,6.0,8.0,8.335253715515137,8.832269668579102,8.56131362915039,6.5423383712768555
193,the broadcaster explained which judge the contestant had disqualified from the show.,97,reversal,reversed,judge,contestant,The broadcaster explained which judge the contestant had,disqualified,4.0,6.0,8.0,10.552833557128906,13.949185371398926,9.609301567077637,7.222610950469971
194,the campaign volunteer speculated which mayor the voters had elected by a landslide.,98,reversal,canonical,mayor,voters,The campaign volunteer speculated which mayor the voters had,elected,5.0,7.0,9.0,5.239830017089844,4.726358413696289,5.963821887969971,3.557990789413452
195,the campaign volunteer speculated which voters the mayor had elected by a landslide.,98,reversal,reversed,voters,mayor,The campaign volunteer speculated which voters the mayor had,elected,5.0,7.0,9.0,8.798643112182617,9.712468147277832,10.42809009552002,4.563343524932861
196,the family counselor understood which daughter the stepparent had abused on a daily basis.,99,reversal,canonical,daughter,stepparent,The family counselor understood which daughter the stepparent had,abused,5.0,7.0,9.0,8.779150009155273,6.369422912597656,8.311372756958008,6.198389530181885
197,the family counselor understood which stepparent the daughter had abused on a daily basis.,99,reversal,reversed,stepparent,daughter,The family counselor understood which stepparent the daughter had,abused,5.0,7.0,9.0,9.450196266174316,8.42694091796875,12.124614715576172,9.201650619506836
198,the newscaster confirmed which fugitive the policeman had arrested following the robbery.,100,reversal,canonical,fugitive,policeman,The newscaster confirmed which fugitive the policeman had,arrested,4.0,6.0,8.0,7.891962051391602,3.614079236984253,3.871667861938477,7.601465225219727
199,the newscaster confirmed which policeman the fugitive had arrested following the robbery.,100,reversal,reversed,policeman,fugitive,The newscaster confirmed which policeman the fugitive had,arrested,4.0,6.0,8.0,7.600730419158935,7.169458866119385,6.792762756347656,6.46394157409668
200,the opera composer revealed which pirate the singer had portrayed with the greatest finesse.,101,reversal,canonical,pirate,singer,The opera composer revealed which pirate the singer had,portrayed,5.0,7.0,9.0,11.364404678344728,10.507914543151855,9.797322273254396,9.910298347473145
201,the opera composer revealed which singer the pirate had portrayed with the greatest finesse.,101,reversal,reversed,singer,pirate,The opera composer revealed which singer the pirate had,portrayed,5.0,7.0,9.0,10.14590835571289,10.967605590820312,10.533212661743164,8.675029754638672
202,the prison warden guessed which jailer the inmate had stabbed with a knife.,102,reversal,canonical,jailer,inmate,The prison warden guessed which jailer the inmate had,stabbed,5.0,7.0,9.0,10.432902336120604,10.112910270690918,9.913018226623535,2.996673822402954
203,the prison warden guessed which inmate the jailer had stabbed with a knife.,102,reversal,reversed,inmate,jailer,The prison warden guessed which inmate the jailer had,stabbed,5.0,7.0,9.0,9.793413162231444,8.341659545898438,11.615338325500488,2.939659595489502
204,the producer observed which viewers the acrobats had impressed with their tricks.,103,reversal,canonical,viewers,acrobats,The producer observed which viewers the acrobats had,impressed,4.0,6.0,8.0,12.71048069000244,10.68885612487793,7.280934810638428,6.514019012451172
205,the producer observed which acrobats the viewers had impressed with their tricks.,103,reversal,reversed,acrobats,viewers,The producer observed which acrobats the viewers had,impressed,4.0,6.0,8.0,13.194311141967772,12.21640396118164,12.04715633392334,8.054092407226562
206,the queen recognized which nobleman the comedian had entertained with his jokes.,104,reversal,canonical,nobleman,comedian,The queen recognized which nobleman the comedian had,entertained,4.0,6.0,8.0,11.35231876373291,12.492060661315918,13.488640785217283,7.726633548736572
207,the queen recognized which comedian the nobleman had entertained with his jokes.,104,reversal,reversed,comedian,nobleman,The queen recognized which comedian the nobleman had,entertained,4.0,6.0,8.0,10.264937400817873,11.520261764526367,13.640769958496094,5.685790538787842
208,the reporter inquired which animals the groomer had cleaned with special shampoo.,105,reversal,canonical,animals,groomer,The reporter inquired which animals the groomer had,cleaned,4.0,6.0,8.0,10.71729850769043,8.875680923461914,10.61219596862793,7.788359642028809
209,the reporter inquired which groomer the animals had cleaned with special shampoo.,105,reversal,reversed,groomer,animals,The reporter inquired which groomer the animals had,cleaned,4.0,6.0,8.0,11.937521934509276,12.681015968322754,13.859711647033691,9.266777038574219
210,the ape researcher identified which chimpanzee the poacher had shot in the jungle.,106,reversal,canonical,chimpanzee,poacher,The ape researcher identified which chimpanzee the poacher had,shot,5.0,7.0,9.0,6.372218608856201,5.485987663269043,2.133415937423706,7.538471698760986
211,the ape researcher identified which poacher the chimpanzee had shot in the jungle.,106,reversal,reversed,poacher,chimpanzee,The ape researcher identified which poacher the chimpanzee had,shot,5.0,7.0,9.0,6.5905070304870605,5.92233419418335,4.311991691589356,7.727542400360107
212,the boatman saw which shark the diver had speared just off the shore.,107,reversal,canonical,shark,diver,The boatman saw which shark the diver had,speared,4.0,6.0,8.0,12.81486527621746,9.7612065365538,10.264643121277912,4.557625733257737
213,the boatman saw which diver the shark had speared just off the shore.,107,reversal,reversed,diver,shark,The boatman saw which diver the shark had,speared,4.0,6.0,8.0,14.033817261457443,11.704836670309303,10.559638616396114,2.8363915432128124
214,the committee member guessed which advisors the president had appointed to the cabinet.,108,reversal,canonical,advisors,president,The committee member guessed which advisors the president had,appointed,5.0,7.0,9.0,7.119685649871826,5.699521541595459,5.912229061126709,0.7801586985588074
215,the committee member guessed which president the advisors had appointed to the cabinet.,108,reversal,reversed,president,advisors,The committee member guessed which president the advisors had,appointed,5.0,7.0,9.0,7.50392484664917,8.740262985229492,8.899972915649414,2.213427782058716
216,the farmer indicated which donkey the townsperson had bought in the neighboring village.,109,reversal,canonical,donkey,townsperson,The farmer indicated which donkey the townsperson had,bought,4.0,6.0,8.0,5.376832485198975,4.560286521911621,6.1024017333984375,5.7666916847229
217,the farmer indicated which townsperson the donkey had bought in the neighboring village.,109,reversal,reversed,townsperson,donkey,The farmer indicated which townsperson the donkey had,bought,4.0,6.0,8.0,7.789124488830566,7.123295783996582,9.583438873291016,8.433753967285156
218,the military man knew which soldiers the general had promoted after their tour.,110,reversal,canonical,soldiers,general,The military man knew which soldiers the general had,promoted,5.0,7.0,9.0,11.407639503479004,12.007041931152344,11.757343292236328,9.298544883728027
219,the military man knew which general the soldiers had promoted after their tour.,110,reversal,reversed,general,soldiers,The military man knew which general the soldiers had,promoted,5.0,7.0,9.0,11.649284362792969,14.171700477600098,14.518888473510742,9.587798118591309
220,the parole officer confirmed which delinquent the psychologist had treated several times already.,111,reversal,canonical,delinquent,psychologist,The parole officer confirmed which delinquent the psychologist had,treated,5.0,7.0,9.0,10.289680480957031,9.07761287689209,6.906040191650391,7.426029205322266
221,the parole officer confirmed which psychologist the delinquent had treated several times already.,111,reversal,reversed,psychologist,delinquent,The parole officer confirmed which psychologist the delinquent had,treated,5.0,7.0,9.0,7.602877140045166,9.03445529937744,9.075151443481444,10.906194686889648
222,the policeman knew which suspect the detective had arrested for the recent crime.,112,reversal,canonical,suspect,detective,The policeman knew which suspect the detective had,arrested,4.0,6.0,8.0,7.304326057434082,4.608892917633057,4.954840660095215,2.608297109603882
223,the policeman knew which detective the suspect had arrested for the recent crime.,112,reversal,reversed,detective,suspect,The policeman knew which detective the suspect had,arrested,4.0,6.0,8.0,9.101630210876465,7.4813055992126465,6.779143810272217,5.1283769607543945
224,the priest knew which demon the exorcist had expelled with a cross.,113,reversal,canonical,demon,exorcist,The priest knew which demon the exorcist had,expelled,4.0,6.0,8.0,12.3012113571167,12.949352264404297,11.933813095092772,15.369690895080566
225,the priest knew which exorcist the demon had expelled with a cross.,113,reversal,reversed,exorcist,demon,The priest knew which exorcist the demon had,expelled,4.0,6.0,8.0,13.50753402709961,15.097192764282228,13.189624786376951,16.03164291381836
226,jack observed which passenger the conductor had removed from the train.,114,reversal,canonical,passenger,conductor,Jack observed which passenger the conductor had,removed,3.0,5.0,7.0,7.79624605178833,8.340415954589844,7.755240440368652,1.880728006362915
227,jack observed which conductor the passenger had removed from the train.,114,reversal,reversed,conductor,passenger,Jack observed which conductor the passenger had,removed,3.0,5.0,7.0,8.077868461608887,8.976030349731445,8.28953742980957,2.6354262828826904
228,teresa knew which neighbor the parrot had bitten at the block party.,115,reversal,canonical,neighbor,parrot,Teresa knew which neighbor the parrot had,bitten,3.0,5.0,7.0,9.81608772277832,9.877197265625,9.44710922241211,11.045595169067383
229,teresa knew which parrot the neighbor had bitten at the block party.,115,reversal,reversed,parrot,neighbor,Teresa knew which parrot the neighbor had,bitten,3.0,5.0,7.0,9.864517211914062,9.469733238220217,11.129276275634766,12.910412788391113
230,the art critic identified which model the artist had drawn in the studio.,116,reversal,canonical,model,artist,The art critic identified which model the artist had,drawn,5.0,7.0,9.0,6.983254909515381,5.9423112869262695,4.685121059417725,9.528119087219238
231,the art critic identified which artist the model had drawn in the studio.,116,reversal,reversed,artist,model,The art critic identified which artist the model had,drawn,5.0,7.0,9.0,5.833673477172852,5.47691822052002,6.000133991241455,10.08951187133789
232,the cotton farmer wondered which master the slave had escaped by running through the woods.,117,reversal,canonical,master,slave,The cotton farmer wondered which master the slave had,escaped,5.0,7.0,9.0,10.938536643981934,8.650226593017578,7.057392120361328,2.0867795944213867
233,the cotton farmer wondered which slave the master had escaped by running through the woods.,117,reversal,reversed,slave,master,The cotton farmer wondered which slave the master had,escaped,5.0,7.0,9.0,9.305224418640137,9.686690330505373,9.381040573120115,3.106804609298706
234,the farmhand recorded which goats the breeder had sold at the market.,118,reversal,canonical,goats,breeder,The farmhand recorded which goats the breeder had,sold,4.0,6.0,8.0,5.309657573699951,5.306894779205322,5.833006858825684,1.5904226303100586
235,the farmhand recorded which breeder the goats had sold at the market.,118,reversal,reversed,breeder,goats,The farmhand recorded which breeder the goats had,sold,4.0,6.0,8.0,6.103738784790039,9.611656188964844,9.795045852661133,4.512922286987305
236,the four-year-old knew which hero the dragon had eaten for dinner last night.,119,reversal,canonical,hero,dragon,The four-year-old knew which hero the dragon had,eaten,4.0,6.0,8.0,9.739424705505373,8.99654769897461,10.841243743896484,6.775404930114746
237,the four-year-old knew which dragon the hero had eaten for dinner last night.,119,reversal,reversed,dragon,hero,The four-year-old knew which dragon the hero had,eaten,4.0,6.0,8.0,7.272637367248535,6.353782176971436,8.724928855895996,5.389453411102295
238,the security guard investigated which patrolman the loiterer had evaded for three hours.,120,reversal,canonical,patrolman,loiterer,The security guard investigated which patrolman the loiterer had,evaded,5.0,7.0,9.0,11.482772469520569,16.726767480373383,16.712491273880005,1.158398080515326
239,the security guard investigated which loiterer the patrolman had evaded for three hours.,120,reversal,reversed,loiterer,patrolman,The security guard investigated which loiterer the patrolman had,evaded,5.0,7.0,9.0,11.664452321827412,16.47976553440094,17.746940851211548,1.6491485122242011
240,the fertilizer enriched the soil so the plants could grow.,121,control,high-cloze,,,The fertilizer enriched the,soil,,,,1.806505799293518,1.2236579656600952,1.2886521816253662,0.3888775408267975
241,the fertilizer enriched the paint so the plants could grow.,121,control,low-cloze,,,The fertilizer enriched the,paint,,,,12.267167091369627,12.59872817993164,13.591824531555176,16.391870498657227
242,all the guests had a very good time at the party he gave.,122,control,high-cloze,,,All the guests had a very good,time,,,,0.6229349374771118,0.3987576067447662,0.1858183145523071,0.856923520565033
243,all the guests had a very good word at the party he gave.,122,control,low-cloze,,,All the guests had a very good,word,,,,11.135549545288086,11.802709579467772,13.47680377960205,11.906377792358398
244,the mole lived in a hole in the ground at the bottom of the hill.,123,control,high-cloze,,,The mole lived in a hole in the,ground,,,,1.324172854423523,1.845954418182373,1.0682337284088137,1.4680246114730835
245,the mole lived in a hole in the pill at the bottom of the hill.,123,control,low-cloze,,,The mole lived in a hole in the,pill,,,,17.48012924194336,16.46574592590332,17.338472366333008,21.175579071044922
246,most shark attacks occur very close to shore and in the summer months.,124,control,high-cloze,,,Most shark attacks occur very close to,shore,,,,2.419039249420166,1.012997031211853,0.7679534554481506,1.1073453426361084
247,most shark attacks occur very close to scissors and in the summer months.,124,control,low-cloze,,,Most shark attacks occur very close to,scissors,,,,22.60837173461914,29.16541862487793,27.809053421020508,24.832345962524414
248,the bad boy was sent to his room without any dessert.,125,control,high-cloze,,,The bad boy was sent to his,room,,,,5.184806346893311,2.134246826171875,1.7620145082473757,1.5619463920593262
249,the bad boy was sent to his beach without any dessert.,125,control,low-cloze,,,The bad boy was sent to his,beach,,,,14.588553428649902,14.262408256530762,15.57273006439209,16.47273826599121
250,new york is a very busy city that never sleeps.,126,control,high-cloze,,,New York is a very busy,city,,,,1.360825777053833,1.3213441371917725,1.355015516281128,0.6503778696060181
251,new york is a very busy baby that never sleeps.,126,control,low-cloze,,,New York is a very busy,baby,,,,17.85877799987793,15.94762897491455,15.254735946655272,16.07366943359375
